SR,SKU,Name,Address,Phone,Category,URL,Serves Beer,Serves Breakfast,Serves Brunch,Serves Dinner,Serves Lunch,Serves Vegetarian Food,Serves Wine,Takeout,Delivery,Dine In,Business Status,Rating,User Ratings Total,Latitude,Longitude
20,,OLYMPIA SNACK BAR LOUNGE 237,"montee jouvence, Yaoundé, Cameroon",6 98 04 51 63,"- bar
- point_of_interest
- establishment",https://maps.google.com/?cid=11397184655482335936,True,False,False,False,False,False,True,True,False,True,OPERATIONAL,3.8,910,3.8297881,11.4807178
21,,Sims snack bar restaurant,"Yaoundé, Cameroon",6 70 50 35 26,"- bar
- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=16554225299551816990,True,False,False,True,True,False,True,True,True,True,OPERATIONAL,4.4,71,3.8522391,11.481133
22,,Elle & Moi Restaurant,"Route de la mission Catholique, Yaoundé, Cameroon",6 76 01 38 54,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=18429256889586507914,False,True,False,True,True,False,False,True,True,True,OPERATIONAL,2,1,3.8775491,11.5099928
23,,"Restaurant Fonction Publique, Yaoundé","VG86+WM4, Yaoundé, Cameroon",,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=12246828529485235641,True,True,False,True,True,False,False,True,False,True,OPERATIONAL,4.5,8,3.8672626,11.5116951
24,,Garden food,"WGFP+32, Yaoundé, Cameroon",6 75 41 34 55,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=11782577038181518473,True,False,False,True,True,False,False,True,True,True,OPERATIONAL,4,2,3.922633599999999,11.5350658
25,,le 18eme Bar VIP,"RFPP+35R, Yaoundé, Cameroon",,"- bar
- point_of_interest
- establishment",https://maps.google.com/?cid=13986019367136447692,True,False,False,False,False,False,True,False,False,True,OPERATIONAL,4.6,5,3.8352253,11.4853815
26,,AN-NOUR chicken,"VGG4+MMV, Yaoundé, Cameroon",6 98 00 08 62,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=1002803184970228157,False,False,False,False,False,False,False,True,False,False,OPERATIONAL,4.5,2,3.8767386,11.5066606
27,,Poissonnerie Congelcam Messassi,"WGV8+6JV, Yaoundé, Cameroon",,"- food
- point_of_interest
- store
- establishment",https://maps.google.com/?cid=1173962430677211690,False,False,False,False,False,False,False,False,True,False,OPERATIONAL,3.1,15,3.9431134,11.5165384
28,,MARCO FUFU,"Tam tam, Yaoundé, Cameroon",6 51 63 92 62,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=11870722721145395141,True,False,False,True,True,False,True,True,True,True,OPERATIONAL,4.4,90,3.832868699999999,11.4887892
29,,Dr Glace,"Coron, Yaoundé, Cameroon",6 59 28 75 05,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=8887138286957092608,False,False,False,False,False,False,False,True,True,True,OPERATIONAL,4.5,4,3.845096399999999,11.5187912
30,,Twoseasons food,"VG6C+M3H, Yaoundé, Cameroon",,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=12077919792864691364,False,False,False,False,False,False,False,False,False,False,OPERATIONAL,0,0,3.861685300000001,11.5202292
31,,Pizzeria Glacier Grill Dolcezza,"à côté du socrate, Nv Rte Bastos, Yaoundé, Cameroon",6 58 59 77 55,"- restaurant
- point_of_interest
- store
- food
- establishment",https://maps.google.com/?cid=5149575885301337766,False,True,True,True,True,True,True,True,True,True,OPERATIONAL,4.5,644,3.8866125,11.5041972
32,,Calafatas,"Rue De Nachtigal, Yaoundé, Cameroon",2 22 23 17 29,"- bakery
- food
- point_of_interest
- store
- establishment",https://maps.google.com/?cid=18015357971589317261,False,True,False,False,False,False,False,True,True,True,OPERATIONAL,3.7,2113,3.8713575,11.5174798
33,,Le BACCHUS PLUS Yaoundé,"VGHG+384, Yaoundé, Cameroon",6 92 49 14 66,"- restaurant
- point_of_interest
- food
- establishment",https://maps.google.com/?cid=12544331510287882145,True,True,True,True,True,False,True,True,True,True,OPERATIONAL,4.4,175,3.877638499999999,11.5258211
34,,8 Mile restaurant,"Quartier Omnisport, VGJQ+686, Rue Foe, Yaoundé, Cameroon",6 99 00 46 00,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=16756654959972132044,True,False,False,True,True,False,True,True,False,True,OPERATIONAL,4.2,13,3.8805316,11.5382757
35,,BHB Chicken,"Tongolo près de la station, Delta petroleum, Yaoundé, Cameroon",6 70 89 61 23,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=15666900236802402661,True,True,False,True,True,False,True,True,False,True,OPERATIONAL,4,13,3.9105346,11.5249879
36,,Restaurant Fast-Food Carrefour bastos,"Carrefour bastos, derrière station neptune tel: 696309852, Yaoundé, Cameroon",6 96 30 98 52,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=5424659231396916565,True,False,False,True,True,False,True,True,False,True,OPERATIONAL,5,1,3.892798999999999,11.5120066
37,,THE PEOPLES CULTURAL CENTER (YAOUNDÉ),"RFXM+FP8, Yaoundé, Cameroon",6 75 76 98 61,"- meal_takeaway
- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=16581343077750073791,False,False,False,False,False,False,False,False,False,False,OPERATIONAL,4,12,3.8486554,11.4843149
38,,Restaurant-Dakéré,"RFJH+737, Yaoundé, Cameroon",6 97 30 32 55,"- restaurant
- point_of_interest
- food
- establishment",https://maps.google.com/?cid=2287901457224457279,True,True,True,True,True,True,True,True,True,True,OPERATIONAL,3.6,33,3.830661699999999,11.4776823
39,,THE CHIKEN HOUSE CAMEROUN,"4.106, Yaoundé, Cameroon",6 70 93 16 12,"- restaurant
- point_of_interest
- food
- establishment",https://maps.google.com/?cid=18194111068897607819,True,False,False,True,True,False,False,True,True,True,OPERATIONAL,3.6,8,3.8646973,11.5429355
40,,La Base Bar,"Nouvelle Route Nkolndongo, Yaoundé, Cameroon",6 94 49 67 42,"- restaurant
- point_of_interest
- food
- establishment",https://maps.google.com/?cid=7459485393780447519,False,False,False,False,False,False,False,True,True,True,OPERATIONAL,5,1,3.8583201,11.5278725
41,,Sous Manguier Bar,"0000, Yaoundé, Cameroon",6 98 08 41 87,"- night_club
- bar
- point_of_interest
- establishment",https://maps.google.com/?cid=8813766221375319010,True,False,False,False,False,False,True,True,False,False,OPERATIONAL,3.6,32,3.8306495,11.4940976
42,,Etoudi,"VG2F+3WM, Yaoundé, Cameroon",,"- restaurant
- point_of_interest
- food
- establishment",https://maps.google.com/?cid=12869276854599160541,True,True,False,True,True,True,True,True,True,True,OPERATIONAL,4,88,3.8502116,11.5247903
43,,KC,"VGCM+7MM, Yaoundé, Cameroon",6 58 84 31 05,"- restaurant
- point_of_interest
- food
- establishment",https://maps.google.com/?cid=1743210799322085526,True,False,False,True,True,False,False,True,False,True,OPERATIONAL,4.1,17,3.8707109,11.5341679
44,,KAWA COFFEE SHOP,"BASTOS EN FACE DIPLOMATE HOTEL, Yaoundé, Cameroon",6 99 82 28 28,"- restaurant
- cafe
- food
- store
- point_of_interest
- establishment",https://maps.google.com/?cid=1824412602791557500,True,False,False,False,False,False,False,True,True,True,OPERATIONAL,5,29,3.8960332,11.5070931
45,,BAR Ta'a SO,"RF3M+358, Yaoundé, Cameroon",,"- bar
- point_of_interest
- establishment",https://maps.google.com/?cid=10817522894972336743,True,False,False,False,False,False,True,False,False,True,OPERATIONAL,0,0,3.8026521,11.4829491
46,,Yunick's Restaurant,"Rond Point Express, Yaoundé, Cameroon",6 82 81 32 89,"- restaurant
- bar
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=6768790828923520048,True,True,True,True,True,True,True,True,True,True,OPERATIONAL,3.7,222,3.8359177,11.4847936
47,,RESTAURANT MAISON JAUNE,"VGJQ+79C, Yaoundé, Cameroon",6 97 29 66 48,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=1149220937697506426,True,False,False,True,True,False,False,True,True,True,OPERATIONAL,5,2,3.8806944,11.5383815
48,,Sweet Treats by Sandy,"RF4P+83Q, Yaoundé, Cameroon",6 78 32 13 37,"- bakery
- point_of_interest
- store
- food
- establishment",https://maps.google.com/?cid=10168870163595874857,False,False,False,False,False,False,False,True,True,False,OPERATIONAL,4.5,11,3.805909899999999,11.4851458
49,,Club 2000 Bar,"RFPM+48H, Unnamed Rd, Yaoundé, Cameroon",6 74 63 64 25,"- bar
- point_of_interest
- establishment",https://maps.google.com/?cid=8204710306662061614,True,False,False,False,False,False,True,False,False,True,OPERATIONAL,3.8,12,3.8353122,11.4833742
50,,OASIS BAR RESTAURANT,"RFQR+XPJ, Yaoundé, Cameroon",6 90 32 14 92,"- bar
- point_of_interest
- establishment",https://maps.google.com/?cid=9267498036378366836,True,False,False,False,False,False,True,True,False,True,OPERATIONAL,4.5,2,3.839952699999999,11.4917673
51,,Ness - Food,"VGGJ+QQG, Yaoundé, Cameroon",6 51 55 70 43,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=1577740200219403622,False,False,False,False,True,False,False,True,True,True,OPERATIONAL,0,0,3.8766795,11.5318028
52,,ROGAN KINGS CLUB Bar & Restaurant,"Opposite Pharmacy EMIA_Polytech, VG72+5Q6, Yaoundé, Cameroon",6 77 53 73 58,"- restaurant
- point_of_interest
- food
- establishment",https://maps.google.com/?cid=16389091825289721845,True,False,False,True,True,False,True,True,False,True,OPERATIONAL,3.8,13,3.862907799999999,11.501876
53,,Acacias Market,"Acacias, Yaoundé, Cameroon",6 91 93 19 02,"- point_of_interest
- establishment",https://maps.google.com/?cid=779195152052181123,False,False,False,False,False,False,False,False,False,False,OPERATIONAL,3.5,2882,3.8414824,11.488448
54,,Raphaëlo Pizza Nkolbisson,"N3, Yaoundé, Cameroon",6 90 90 90 76,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=3705986070924735785,False,False,False,True,True,False,False,True,True,True,OPERATIONAL,4,101,3.8728419,11.4548034
55,,LOVEL'S CAKES,"RFG9+44F Simbock, Yaoundé, Cameroon",6 70 70 46 04,"- bakery
- point_of_interest
- store
- food
- establishment",https://maps.google.com/?cid=5295282682495202095,False,False,False,False,False,False,False,True,True,False,OPERATIONAL,2.3,3,3.825345,11.467011
56,,"Restaurant MANUBA - ""Eru House""","Nv Rte Bastos, Yaoundé, Cameroon",6 77 80 37 48,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=14081137465155326885,True,False,True,True,True,True,True,True,True,True,OPERATIONAL,3.5,485,3.8870542,11.5024936
57,,Supermarché Mahima,"RGW9+FJ3, Yaoundé, Cameroon",2 22 30 79 63,"- supermarket
- grocery_or_supermarket
- food
- store
- point_of_interest
- establishment",https://maps.google.com/?cid=9414261881271296738,False,False,False,False,False,False,False,False,True,False,OPERATIONAL,3.9,901,3.8461474,11.5190454
58,,Snack Bar Sao Paulo,"RF8R+MXW, Yaoundé, Cameroon",6 91 63 04 95,"- bar
- point_of_interest
- establishment",https://maps.google.com/?cid=17360467277323245040,True,False,False,False,False,False,True,True,False,True,OPERATIONAL,3.8,14,3.8167283,11.4924639
59,,LE RHUMSIKI,"Rue Salomon Olembe, Yaoundé, Cameroon",6 91 51 20 44,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=10646677244635644538,True,False,False,True,True,False,True,True,True,True,OPERATIONAL,4.1,10,3.8746853,11.539245
60,,Denise bar,"RF75+G7, Yaoundé, Cameroon",,"- bar
- point_of_interest
- establishment",https://maps.google.com/?cid=7781896882669213565,True,False,False,False,False,False,False,False,False,True,OPERATIONAL,2.8,6,3.8137476,11.4582238
61,,Food c,"Route d'Essos, RGWV+253, Yaoundé, Cameroon",,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=12301260115022290801,True,False,False,True,True,False,False,True,True,True,OPERATIONAL,0,0,3.8450035,11.5429311
62,,Fanka's Fast Food Cafeteria,"Marche' Mendong, Yaoundé, Cameroon",6 70 11 21 24,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=4052119933911697615,False,False,False,False,False,False,False,True,True,True,OPERATIONAL,0,0,3.8339347,11.4647095
63,,Flora cafes,"Yaounde, Cameroon, Simbock , monte des, RFCF+H33, soeurs, Yaoundé, Cameroon",6 77 66 00 30,"- restaurant
- point_of_interest
- food
- establishment",https://maps.google.com/?cid=2440006069205068208,False,False,False,True,True,False,False,True,False,True,OPERATIONAL,3.8,9,3.8213997,11.4726571
64,,Boulangerie etoua lontsi,"QFMJ+33, Yaoundé, Cameroon",,"- bakery
- food
- point_of_interest
- store
- establishment",https://maps.google.com/?cid=5654913406066855069,False,False,False,False,False,False,False,False,False,False,OPERATIONAL,0,0,3.782265,11.4793283
65,,The Blues,"VF2C+867, Yaoundé, Cameroon",6 77 72 61 39,"- restaurant
- point_of_interest
- food
- establishment",https://maps.google.com/?cid=4438888573873966624,True,False,False,True,True,False,False,True,False,True,OPERATIONAL,2.3,6,3.8507889,11.4705589
66,,DAKERE VIP,"Après Entrée Hôpital, Face Tagus Drone, Yaoundé, Cameroon",6 99 92 86 18,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=140181364963434553,False,False,False,False,False,False,False,False,False,False,OPERATIONAL,4,2,3.8342913,11.4864196
67,,Ets Perla,"Shell Nsimeyong, Descente Victor hugo, Yaoundé, Cameroon",6 96 70 13 13,"- restaurant
- point_of_interest
- food
- establishment",https://maps.google.com/?cid=15642757015685363047,True,False,True,True,True,False,True,True,True,True,OPERATIONAL,4,89,3.839201800000001,11.4960635
68,,Food's Delice,"Carrefour T. K. C, Yaoundé, Cameroon",6 57 66 77 35,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=6470142384353706221,True,True,False,True,True,False,True,True,False,True,OPERATIONAL,4.5,6,3.8394571,11.4758568
69,,La Croissanterie,"quartier, N2, Yaoundé, Cameroon",6 90 31 21 98,"- meal_takeaway
- bakery
- restaurant
- food
- store
- point_of_interest
- establishment",https://maps.google.com/?cid=5260605062062860916,True,True,False,True,True,True,False,True,False,True,OPERATIONAL,0,0,3.779905,11.52653
70,,Restaurant Bar Grill chez MS,"12798, Yaoundé, Cameroon",6 95 63 83 97,"- restaurant
- point_of_interest
- food
- establishment",https://maps.google.com/?cid=12709523784867904318,True,False,False,True,True,False,True,True,True,True,OPERATIONAL,4.5,2,3.834497500000001,11.4864777
71,,Chill Out Bar & Grill,"RG6Q+97W, Yaoundé Odza, Lieu dit Happy, Secteur NGUEM, Yaoundé, Cameroon",6 73 18 26 59,"- bar
- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=864247215242584788,True,True,False,True,True,True,True,True,True,True,OPERATIONAL,4.5,4,3.8109375,11.5381875
72,,LE SCHMID by Marius,"237, Yaoundé, Cameroon",,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=7872170022503064230,True,False,False,False,False,False,False,False,False,False,OPERATIONAL,5,2,3.8698239,11.5347138
73,,Secteur Bar Plus,"RF99+6QR Simbock à Mendog, Yaoundé, Cameroon",,"- bar
- point_of_interest
- establishment",https://maps.google.com/?cid=2465273258247197747,True,False,False,False,False,False,False,False,False,False,OPERATIONAL,4,1,3.8173337,11.4696003
74,,Big up food,"vallée Nlongkak, Yaoundé, Cameroon",6 59 93 90 24,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=4136239497206172377,True,False,False,True,True,False,True,True,True,True,OPERATIONAL,3.9,26,3.8921041,11.5229939
75,,Restaurant le KPRISS TSINGA,"VGP2+86P, Ave John Ngu Foncha, Yaoundé, Cameroon",,"- restaurant
- point_of_interest
- food
- establishment",https://maps.google.com/?cid=8411595926055020409,True,False,False,True,True,False,True,True,False,True,OPERATIONAL,4,1,3.885837999999999,11.5005718
76,,SELECTE Cathédrale,"VG6C+VFM, Yaoundé, Cameroon",6 97 89 79 38,"- bakery
- point_of_interest
- store
- food
- establishment",https://maps.google.com/?cid=13390289222310193135,False,False,False,False,False,False,False,True,True,True,OPERATIONAL,4.1,74,3.8623078,11.5212758
77,,Fabio Home,"RFPR+JP6, Unnamed Rd, Yaoundé, Cameroon",6 90 99 72 48,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=3908728748574377624,False,False,False,False,True,False,False,True,False,True,OPERATIONAL,4,2,3.836542799999999,11.4917652
78,,Route 66 Bar & Grill Bastos Yaounde,"Yaoundé, Cameroon",6 90 04 90 04,"- night_club
- bar
- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=12423897017700301831,True,False,False,True,True,False,True,False,False,True,OPERATIONAL,3.8,286,3.8944272,11.5083893
79,,Chez Ma'a Rosa (Taro sauce jaune),"RFMR+Q9, Yaoundé, Cameroon",,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=13900632618181918234,False,False,False,False,False,False,False,True,True,True,OPERATIONAL,5,1,3.8344066,11.4908722
80,,Carrefour Safari,"VHP5+PVQ Nkolmesseng, Yaoundé, Cameroon",,"- point_of_interest
- establishment",https://maps.google.com/?cid=17999131853243102242,False,False,False,False,False,False,False,False,False,False,OPERATIONAL,1,1,3.8868387,11.5597438
81,,Food Island Restaurant,"RFMQ+52M, Unnamed Rd, Yaoundé, Cameroon",6 70 32 07 13,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=16566512442008499260,True,False,False,True,True,False,False,True,True,True,OPERATIONAL,4,9,3.832955699999999,11.4875523
82,,"677935900 Restaurant LES CASCADES DU MFOUNDI, Yaoundé","No 16224 - avenue Warda N 1, Yaoundé, Cameroon",6 74 61 14 09,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=17205517741903442921,True,True,True,True,True,True,True,True,True,True,OPERATIONAL,3.6,446,3.86805,11.5144759
83,,EL TIEMPO (Restaurant-Cave-Lounge),"RFJG+5Q7, Yaoundé, Cameroon",6 57 55 13 81,"- restaurant
- point_of_interest
- food
- establishment",https://maps.google.com/?cid=16158857490115504370,True,False,False,True,False,False,False,False,False,True,OPERATIONAL,0,0,3.830412,11.4769296
84,,Fairy's Touch Cakes,"Nouvelle route Nsimeyong, Yaoundé, Cameroon",6 79 32 24 36,"- bakery
- point_of_interest
- store
- food
- establishment",https://maps.google.com/?cid=12226878669280048814,False,False,False,False,False,False,False,True,True,False,OPERATIONAL,4.5,4,3.8366571,11.4993552
85,,Le Palais Du Sandwich,"VGQ8+RWQ, Yaoundé, Cameroon",6 56 50 07 91,"- restaurant
- point_of_interest
- store
- food
- establishment",https://maps.google.com/?cid=13545310179971152408,False,False,False,True,True,False,False,True,True,True,OPERATIONAL,4,69,3.8895875,11.5173594
86,,Bakery Our Lady,"RF37+4WG, Yaoundé, Cameroon",,"- bakery
- point_of_interest
- store
- food
- establishment",https://maps.google.com/?cid=16129530604359723170,False,False,False,False,False,False,False,True,True,False,OPERATIONAL,3.6,19,3.802817799999999,11.4648415
87,,Les 5 Petits Chefs,"Afanoyo, Yaoundé, Cameroon",6 95 61 51 73,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=10435007019037965957,True,True,True,True,True,False,True,True,True,True,OPERATIONAL,4.5,2,3.768750399999999,11.4453134
88,,Bar-resto SOLUTION,"RFFC+9QP, Unnamed Rd, Yaoundé, Cameroon",,"- bar
- point_of_interest
- establishment",https://maps.google.com/?cid=8459009781321706323,True,False,False,False,False,False,True,False,False,True,OPERATIONAL,0,0,3.8234528,11.4719552
89,,Dream Cakes,"RFJJ+4FH, Yaoundé, Cameroon",,"- bakery
- food
- store
- point_of_interest
- establishment",https://maps.google.com/?cid=14264395101887136212,False,False,False,False,False,False,False,True,True,False,OPERATIONAL,5,1,3.830302800000001,11.4812353
90,,LE RIO(SNACK BAR LOUNGE),"Après Pharmacie Teranga Yaoundé, Yaoundé, Cameroon",6 99 96 64 71,"- night_club
- bar
- point_of_interest
- establishment",https://maps.google.com/?cid=3552173485243702060,True,False,False,False,False,False,True,False,False,True,OPERATIONAL,3.6,5,3.8308273,11.4748132
91,,The Food factory,"Yaoundé VIe, Yaoundé, Cameroon",,"- restaurant
- point_of_interest
- food
- establishment",https://maps.google.com/?cid=11350833184378489538,False,False,False,False,False,False,False,False,False,False,OPERATIONAL,0,0,3.8408894,11.4774714
92,,BigK Restaurant,"VGM5+VF8, Nv Rte Bastos, Yaoundé, Cameroon",6 81 29 62 27,"- restaurant
- point_of_interest
- food
- establishment",https://maps.google.com/?cid=8758522100987086934,True,False,False,True,True,False,False,True,False,True,OPERATIONAL,5,1,3.8846668,11.5087055
93,,Restaurant Feu Doux,"VGQ7+336 derriere usine Bastos, 3245, Yaoundé, Cameroon",,"- restaurant
- point_of_interest
- food
- establishment",https://maps.google.com/?cid=810589958255598983,True,False,False,True,True,False,False,True,False,True,OPERATIONAL,4.8,4,3.887655499999999,11.5126392
94,,P.bihina PIZZERIA & KEBAB,"Nkoabang, VH4J+F5G, Yaoundé, Cameroon",6 96 08 50 85,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=11425677595958062561,True,True,False,True,True,False,False,True,True,True,OPERATIONAL,3,1,3.8561996,11.5804643
95,,Fresh lunch,"Yaoundé 237, Yaoundé, Cameroon",6 99 99 01 90,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=7830504874243010756,False,False,False,True,True,False,False,True,True,True,OPERATIONAL,4.7,66,3.8492516,11.5010643
96,,Chilling Icons,"Rue Joseph Essono Balla, Yaoundé, Cameroon",6 97 92 41 27,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=5354266489992823246,True,False,False,True,True,True,True,True,False,True,OPERATIONAL,4.8,5,3.8769737,11.5248359
97,,Snails hub,"A-Live Natural Juice, Yaoundé, Cameroon",6 78 25 00 82,"- point_of_interest
- establishment",https://maps.google.com/?cid=8265899431364931456,False,False,False,False,False,False,False,True,True,False,OPERATIONAL,5,1,3.8507594,11.4879025
98,,HAPPY EGG DEPOT,"ROND POINT DAMAS, Yaoundé, Cameroon",6 70 05 31 72,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=2253616837079473230,False,False,True,True,True,False,False,True,True,True,OPERATIONAL,5,1,3.814566399999999,11.4889289
